#Taken from Zhao, Y.; Lynch, B. J.; Truhlar, D. G. J. Phys. Chem. A 2004, 108, 2715-2719;
#and Zhao, Y.; Gonzalez-Garcia, N.; Truhlar, D. G. J. Phys. Chem. A 2005, 109, 2012-2018.
#(W1 and theoretical estimates); all values are in kcal/mol.
#
#For each reaction, the relevant systems' names, the stoichiometry and the
#reference value are given.  The systems' names refer to the geometry files.
#Negative values in the stoichiometry columns refer to reactants, positive values
#to products.  Example for reaction 1: 
#-1 x (Total Energy of "h") - 1 x (Total Energy of "n2o") + 1 x (Total Energy of "n2ohts") = 18.14
sys1,sys2,sys3,stoich1,stoich2,stoich3,ref
h,n2o,n2ohts,-1,-1,1,18.14
oh,n2,n2ohts,-1,-1,1,83.22
h,hf,hfhts,-1,-1,1,42.18
h,hcl,hclhts,-1,-1,1,18.0
h,ch3f,hfch3ts,-1,-1,1,30.38
hf,ch3,hfch3ts,-1,-1,1,57.02
h,f2,hf2ts,-1,-1,1,2.27
hf,f,hf2ts,-1,-1,1,106.18
ch3,clf,ch3fclts,-1,-1,1,7.43
ch3f,cl,ch3fclts,-1,-1,1,60.17
f-,ch3f,fch3fts-,-1,-1,1,-0.34
fch3fcomp-,fch3fts-,,-1,1,,13.38
cl-,ch3cl,clch3clts-,-1,-1,1,3.1
clch3clcomp-,clch3clts-,,-1,1,,13.61
f-,ch3cl,fch3clts-,-1,-1,1,-12.54
cl-,ch3f,fch3clts-,-1,-1,1,20.11
fch3clcomp1-,fch3clts-,,-1,1,,2.89
fch3clcomp2-,fch3clts-,,-1,1,,29.62
oh-,ch3f,hoch3fts-,-1,-1,1,-2.78
ch3oh,f-,hoch3fts-,-1,-1,1,17.33
hoch3fcomp2-,hoch3fts-,,-1,1,,10.96
hoch3fcomp1-,hoch3fts-,,-1,1,,47.2
h,n2,hn2ts,-1,-1,1,14.69
hn2,hn2ts,,-1,1,,10.72
h,co,hcots,-1,-1,1,3.17
hco,hcots,,-1,1,,22.68
h,c2h4,c2h5ts,-1,-1,1,1.72
c2h5,c2h5ts,,-1,1,,41.75
ch3,c2h4,c3h7ts,-1,-1,1,6.85
c3h7,c3h7ts,,-1,1,,32.97
hcn,hcnts,,-1,1,,48.16
hnc,hcnts,,-1,1,,33.11
h,hcl,rkt01,-1,-1,1,5.7
h2,cl,rkt01,-1,-1,1,8.7
oh,h2,rkt02,-1,-1,1,5.1
h2o,h,rkt02,-1,-1,1,21.2
ch3,h2,rkt03,-1,-1,1,12.1
ch4,h,rkt03,-1,-1,1,15.3
oh,ch4,rkt04,-1,-1,1,6.7
h2o,ch3,rkt04,-1,-1,1,19.6
h,h2,rkt06,-1,-1,1,9.6
oh,nh3,rkt07,-1,-1,1,3.2
h2o,nh2,rkt07,-1,-1,1,12.7
hcl,ch3,rkt08,-1,-1,1,1.7
cl,ch4,rkt08,-1,-1,1,7.9
oh,c2h6,rkt09,-1,-1,1,3.4
h2o,c2h5,rkt09,-1,-1,1,19.9
f,h2,rkt10,-1,-1,1,1.8
hf,h,rkt10,-1,-1,1,33.4
o,ch4,rkt11,-1,-1,1,13.7
oh,ch3,rkt11,-1,-1,1,8.1
h,ph3,rkt12,-1,-1,1,3.1
h2,ph2,rkt12,-1,-1,1,23.2
h,oh,rkt14,-1,-1,1,10.7
h2,o,rkt14,-1,-1,1,13.1
h,h2s,rkt16,-1,-1,1,3.5
h2,hs,rkt16,-1,-1,1,17.3
o,hcl,rkt17,-1,-1,1,9.8
oh,cl,rkt17,-1,-1,1,10.4
nh2,ch3,rkt18,-1,-1,1,8.0
nh,ch4,rkt18,-1,-1,1,22.4
nh2,c2h5,rkt19,-1,-1,1,7.5
nh,c2h6,rkt19,-1,-1,1,18.3
c2h6,nh2,rkt20,-1,-1,1,10.4
c2h5,nh3,rkt20,-1,-1,1,17.4
nh2,ch4,rkt21,-1,-1,1,14.5
nh3,ch3,rkt21,-1,-1,1,17.8
c5h8,rkt22,,-1,1,0,38.4
