molecule,CCSD(T)
LiH,        57.7
BeH.doub,   50.1
CH.doub,    83.8
CH2.trip,  189.7
CH2,       180.4
CH3.doub,  306.0
CH4,       418.7
NH.trip,    82.6
NH2.doub,  181.6
NH3,       296.6
OH.doub,   106.7
H2O,       232.1
HF,        141.1
SiH2,      153.9
SiH2.trip, 133.5
SiH3.doub, 228.7
SiH4,      324.3
PH2.doub,  154.0
PH3,       241.6
H2S,       183.7
HCl,       107.4
Li2,        24.1
LiF,       137.7
C2H2,      402.1
C2H4,      560.7
C2H6,      709.8
CN.doub,   177.3
HCN,       310.4
CO,        257.8
HCO.doub,  277.1
H2CO,      372.2
H3COH,     510.9
N2,        226.1
N2H4,      435.7
NO.doub,   150.7
O2.trip,   119.9
H2O2,      267.5  
F2,         38.2
CO2,       386.7
Na2,        16.7
Si2.trip,   76.2
P2,        115.7
S2.trip,   103.8
Cl2,        60.1
NaCl,       99.3
SiO,       192.0
CS,        170.9
SO.trip,   125.7
ClO.doub,   64.8
ClF,        62.6
Si2H6,     535.0
CH3Cl,     394.6
H3CSH,     472.3
HOCl,      165.6
SO2,       262.1
